time: 0.0342  current fps: 29.240  average fps:  29.240
time: 0.0312  current fps: 32.051  average fps:  30.645
time: 0.0288  current fps: 34.722  average fps:  32.004
time: 0.0282  current fps: 35.461  average fps:  32.869
time: 0.0282  current fps: 35.461  average fps:  33.387
time: 0.0288  current fps: 34.722  average fps:  33.610
time: 0.0324  current fps: 30.864  average fps:  33.217
time: 0.0300  current fps: 33.333  average fps:  33.232
time: 0.0276  current fps: 36.232  average fps:  33.565
time: 0.0288  current fps: 34.722  average fps:  33.681
time: 0.0300  current fps: 33.333  average fps:  33.649
time: 0.0282  current fps: 35.461  average fps:  33.800
time: 0.0276  current fps: 36.232  average fps:  33.987
time: 0.0282  current fps: 35.461  average fps:  34.093
time: 0.0282  current fps: 35.461  average fps:  34.184
time: 0.0282  current fps: 35.461  average fps:  34.264
time: 0.0288  current fps: 34.722  average fps:  34.291
time: 0.0282  current fps: 35.461  average fps:  34.356
time: 0.0270  current fps: 37.037  average fps:  34.497
time: 0.0282  current fps: 35.461  average fps:  34.545
time: 0.0276  current fps: 36.232  average fps:  34.625
time: 0.0300  current fps: 33.333  average fps:  34.567
time: 0.0276  current fps: 36.232  average fps:  34.639
time: 0.0366  current fps: 27.322  average fps:  34.334
time: 0.0294  current fps: 34.014  average fps:  34.321
time: 0.0300  current fps: 33.333  average fps:  34.283
time: 0.0444  current fps: 22.523  average fps:  33.848
time: 0.0324  current fps: 30.864  average fps:  33.741
time: 0.0570  current fps: 17.544  average fps:  33.183
time: 0.0528  current fps: 18.939  average fps:  32.708
time: 0.0282  current fps: 35.461  average fps:  32.797
time: 0.0282  current fps: 35.461  average fps:  32.880
time: 0.0276  current fps: 36.232  average fps:  32.982
time: 0.0270  current fps: 37.037  average fps:  33.101
time: 0.0270  current fps: 37.037  average fps:  33.213
time: 0.0264  current fps: 37.879  average fps:  33.343
time: 0.0276  current fps: 36.232  average fps:  33.421
time: 0.0270  current fps: 37.037  average fps:  33.516
time: 0.0282  current fps: 35.461  average fps:  33.566
time: 0.0270  current fps: 37.037  average fps:  33.653
time: 0.0288  current fps: 34.722  average fps:  33.679
time: 0.0276  current fps: 36.232  average fps:  33.740
time: 0.0282  current fps: 35.461  average fps:  33.780
time: 0.0270  current fps: 37.037  average fps:  33.854
time: 0.0276  current fps: 36.232  average fps:  33.907
time: 0.0294  current fps: 34.014  average fps:  33.909
time: 0.0276  current fps: 36.232  average fps:  33.958
time: 0.0288  current fps: 34.722  average fps:  33.974
time: 0.0282  current fps: 35.461  average fps:  34.005
time: 0.0276  current fps: 36.232  average fps:  34.049
time: 0.0288  current fps: 34.722  average fps:  34.062
time: 0.0282  current fps: 35.461  average fps:  34.089
time: 0.0276  current fps: 36.232  average fps:  34.130
time: 0.0276  current fps: 36.232  average fps:  34.169
time: 0.0276  current fps: 36.232  average fps:  34.206
time: 0.0270  current fps: 37.037  average fps:  34.257
time: 0.0276  current fps: 36.232  average fps:  34.291
time: 0.0288  current fps: 34.722  average fps:  34.299
time: 0.0270  current fps: 37.037  average fps:  34.345
time: 0.0276  current fps: 36.232  average fps:  34.377
time: 0.0282  current fps: 35.461  average fps:  34.394
time: 0.0270  current fps: 37.037  average fps:  34.437
time: 0.0270  current fps: 37.037  average fps:  34.478
time: 0.0270  current fps: 37.037  average fps:  34.518
time: 0.0270  current fps: 37.037  average fps:  34.557
time: 0.0276  current fps: 36.232  average fps:  34.582
time: 0.0270  current fps: 37.037  average fps:  34.619
time: 0.0288  current fps: 34.722  average fps:  34.621
time: 0.0276  current fps: 36.232  average fps:  34.644
time: 0.0300  current fps: 33.333  average fps:  34.625
time: 0.0288  current fps: 34.722  average fps:  34.626
